RULES,,,,
,,,,
BARREL,,,,
,,,,
TEMPLATE ID ,LAYER,LADDER,MODULE,
2500,1,1-12,1-2,
2500,1,1-12,7-8,
2501,1,1-12,3-6,
2611,2,1-28,1-4,
2711,2,1-28,5-8,
1523,3,1-44,1-4,
1623,3,1-44,5-8,
533,4,1-64,1-4,
333,4,1-64,5-8,
,,,,
ENDCAP,,,,
,,,,
TEMPLATE ID ,DISK,BLADE,SIDE,PANEL
1740,1-3,23-56,1-2,1
1850,1-3,1-22,1-2,1
1860,1-3,1-22,1-2,2
1770,1-3,23-56,1-2,2
,,,,
EXCEPTIONS,,,,
,,,,
BARREL,,,,
,,,,
TEMPLATE ID ,LAYER,LADDER,MODULE,
,,,,
ENDCAP,,,,
,,,,
TEMPLATE ID ,LAYER,LADDER,MODULE,
,,,,
