RULES,,,,
,,,,
BARREL,,,,
,,,,
TEMPLATE ID ,LAYER,LADDER,MODULE,
5004,1,1-12,1-8,
5114,2,1-28,1-4,
5214,2,1-28,5-8,
5324,3,1-44,1-4,
5424,3,1-44,5-8,
5534,4,1-64,1-4,
5634,4,1-64,5-8,
,,,,
ENDCAP,,,,
,,,,
TEMPLATE ID ,DISK,BLADE,SIDE,PANEL
5744,1-3,23-56,1-2,1
5854,1-3,1-22,1-2,1
5854,1-3,1-22,1-2,2
5744,1-3,23-56,1-2,2
,,,,
EXCEPTIONS,,,,
,,,,
BARREL,,,,
,,,,
TEMPLATE ID ,LAYER,LADDER,MODULE,
5634,1,4,7,
5634,1,6,7,
5634,1,4,4,
5634,1,4,2,
5634,1,6,4,
5634,1,8,4,
,,,,
ENDCAP,,,,
,,,,
TEMPLATE ID ,DISK,BLADE,SIDE,PANEL
,,,,
