RULES,,,,
,,,,
BARREL,,,,
,,,,
TEMPLATE ID ,LAYER,LADDER,MODULE,
6904,1,1-12,1-8,
6014,2,1-28,1-4,
6114,2,1-28,5-8,
6224,3,1-44,1-4,
6324,3,1-44,5-8,
6434,4,1-64,1-4,
6534,4,1-64,5-8,
,,,,
ENDCAP,,,,
,,,,
TEMPLATE ID ,DISK,BLADE,SIDE,PANEL
6644,1-3,23-56,1-2,1
6754,1-3,1-22,1-2,1
6754,1-3,1-22,1-2,2
6644,1-3,23-56,1-2,2
,,,,
EXCEPTIONS,,,,
,,,,
BARREL,,,,
,,,,
TEMPLATE ID ,LAYER,LADDER,MODULE,
7004,1,4,7,
7004,1,6,7,
7004,1,4,4,
7004,1,4,2,
7004,1,6,4,
7004,1,8,4,
,,,,
ENDCAP,,,,
,,,,
TEMPLATE ID ,DISK,BLADE,SIDE,PANEL
,,,,
