2017 Startup Conditions

template files [to make SiPixelTemplateDBObject_phase1_38T_2017_v1]

template_summary_zp0200.out
template_summary_zp0240.out
template_summary_zp0250.out
template_summary_zp0260.out
template_summary_zp0350.out
template_summary_zp0660.out

generror files [to make SiPixelGenErrorDBObject_phase1_38T_2017_v1]

generror_summary_zp0200.out
generror_summary_zp0240.out
generror_summary_zp0250.out
generror_summary_zp0260.out
generror_summary_zp0350.out
generror_summary_zp0360.out


BPix map

all modules map to ID=0200
    
FPix

Ring 2, ID = 0240
Ring 1, Panel 1, ID = 0250
Ring 1, Panel 2, ID = 0260

Exceptions

Side Disk   Blade   Ring   Panel  Template
 1    3      16       1      1      0350
 1    3      17       1      1      0350
 1    3       7       1      1      0350
 1    3       8       1      1      0350
 1    3       9       1      1      0350
 1    3      15       1      1      0350
 2    1      19       1      1      0350
 2    1      18       1      1      0350
 2    1       6       1      1      0350
 2    1       5       1      1      0350
 2    1       4       1      1      0350
 2    1       3       1      1      0350
 2    1       2       1      1      0350
 2    1       1       1      1      0350
 2    1      22       1      1      0350
 2    1      21       1      1      0350
 2    1      20       1      1      0350
 1    3      16       1      2      0360
 1    3      17       1      2      0360
 1    3       7       1      2      0360
 1    3       8       1      2      0360
 1    3       9       1      2      0360
 1    3      15       1      2      0360
 2    1      19       1      2      0360
 2    1      18       1      2      0360
 2    1       6       1      2      0360
 2    1       5       1      2      0360
 2    1       4       1      2      0360
 2    1       3       1      2      0360
 2    1       2       1      2      0360
 2    1       1       1      2      0360
 2    1      22       1      2      0360
 2    1      21       1      2      0360
 2    1      20       1      2      0360


