RULES,,,,
,,,,
BARREL,,,,
,,,,
TEMPLATE ID ,LAYER,LADDER,MODULE,
1203,1,1-12,1-2,
1203,1,1-12,7-8,
2303,1,1-12,3-6,
1313,2,1-28,1-4,
1413,2,1-28,5-8,
1523,3,1-44,1-4,
1623,3,1-44,5-8,
0533,4,1-64,1-4,
0333,4,1-64,5-8,
,,,,
ENDCAP,,,,
,,,,
TEMPLATE ID ,DISK,BLADE,SIDE,PANEL
1743,1-3,23-56,1-2,1
1853,1-3,1-22,1-2,1
1863,1-3,1-22,1-2,2
1773,1-3,23-56,1-2,2
,,,,
EXCEPTIONS,,,,
,,,,
BARREL,,,,
,,,,
TEMPLATE ID ,LAYER,LADDER,MODULE,
,,,,
ENDCAP,,,,
,,,,
TEMPLATE ID ,DISK,BLADE,SIDE,PANEL
,,,,
