2017 Startup Conditions, 0T field

template files [to make SiPixelTemplateDBObject_phase1_0T_2017_v1]

template_summary_zp0400.out
template_summary_zp0440.out
template_summary_zp0550.out

generror files [to make SiPixelGenErrorDBObject_phase1_0T_2017_v1]

generror_summary_zp0400.out
generror_summary_zp0440.out
generror_summary_zp0550.out



BPix map

all modules map to ID=0400
    
FPix

Ring 2, ID = 0440
Ring 1, Panel 1, ID = 0440
Ring 1, Panel 2, ID = 0440

Exceptions

Side Disk   Blade   Ring   Panel  Template
 1    3      16       1      1      0550
 1    3      17       1      1      0550
 1    3       7       1      1      0550
 1    3       8       1      1      0550
 1    3       9       1      1      0550
 1    3      15       1      1      0550
 2    1      19       1      1      0550
 2    1      18       1      1      0550
 2    1       6       1      1      0550
 2    1       5       1      1      0550
 2    1       4       1      1      0550
 2    1       3       1      1      0550
 2    1       2       1      1      0550
 2    1       1       1      1      0550
 2    1      22       1      1      0550
 2    1      21       1      1      0550
 2    1      20       1      1      0550
 1    3      16       1      2      0550
 1    3      17       1      2      0550
 1    3       7       1      2      0550
 1    3       8       1      2      0550
 1    3       9       1      2      0550
 1    3      15       1      2      0550
 2    1      19       1      2      0550
 2    1      18       1      2      0550
 2    1       6       1      2      0550
 2    1       5       1      2      0550
 2    1       4       1      2      0550
 2    1       3       1      2      0550
 2    1       2       1      2      0550
 2    1       1       1      2      0550
 2    1      22       1      2      0550
 2    1      21       1      2      0550
 2    1      20       1      2      0550


