RULES,,,,
,,,,
BARREL,,,,
,,,,
TEMPLATE ID ,LAYER,LADDER,MODULE,
7105,1,1-12,1-8,
6015,2,1-28,1-4,
6015,2,1-28,5-8,
6225,3,1-44,1-4,
6325,3,1-44,5-8,
6435,4,1-64,1-4,
6535,4,1-64,5-8,
,,,,
ENDCAP,,,,
,,,,
TEMPLATE ID ,DISK,BLADE,SIDE,PANEL
6645,1-3,23-56,1-2,1
6755,1-3,1-22,1-2,1
6755,1-3,1-22,1-2,2
6645,1-3,23-56,1-2,2
,,,,
EXCEPTIONS,,,,
,,,,
BARREL,,,,
,,,,
TEMPLATE ID ,LAYER,LADDER,MODULE,
7005,1,4,7,
7005,1,6,7,
7005,1,4,4,
7005,1,4,2,
7005,1,6,4,
7005,1,8,4,
,,,,
ENDCAP,,,,
,,,,
TEMPLATE ID ,DISK,BLADE,SIDE,PANEL
,,,,
