RULES,,,,,
,,,,,
BARREL,,,,,
,,,,,
NUMERATOR TEMPLATE ID ,DENOMINATOR TEMPLATE ID,LAYER,LADDER,MODULE,
3002,2403,1,1-12,1-8,
3002,2403,2,1-28,1-8,
3002,2403,3,1-44,1-8,
3002,2403,4,1-64,1-8,
,,,,,
ENDCAP,,,,,
,,,,,
NUMERATOR TEMPLATE ID,DENOMINATOR TEMPLATE ID,DISK,BLADE,SIDE,PANEL
3002,2403,1-3,1-56,1-2,1-2
,,,,,
EXCEPTIONS,,,,,
,,,,,
BARREL,,,,,
,,,,,
NUMERATOR TEMPLATE ID,DENOMINATOR TEMPLATE ID,LAYER,LADDER,MODULE,
,,,,,
ENDCAP,,,,,
,,,,,
NUMERATOR TEMPLATE ID,DENOMINATOR TEMPLATE ID,DISK,BLADE,SIDE,PANEL
,,,,,
